iteration	time	leafsWith	leafsWithout
19	3.1382688774458245	4	6
19	3.1427461641225705	25	2
19	3.2364759111488297	30	6
19	1.5926680088794853	1	7
19	3.18764021639862	1	1
19	2.67335093866879	1	2
19	1.6608957895442131	2	2
19	3.198056712957168	1	27
19	2.977032181800922	1	1
19	0.4442396488741167	1	1
19	3.099557952282538	2	1
19	0.5961581158837816	1	2
19	1.5522067963309496	1	1
19	3.168354340045994	9	3
19	2.776274137086631	7	1
19	1.7573504477047095	1	1
19	0.678410467646188	8	15
19	3.2717130641387655	148	31
19	4.115201295778803	5	44
19	2.6378475094483065	1	1
19	3.3536176098166663	53	223
19	2.9769686634044774	1	1
19	2.438246389690363	2	5
19	3.1336786512479193	1	1
19	2.931453322656722	16	1
19	3.2009661821808777	24	1
19	1.8896110153291659	6	1
19	2.32270553557899	4	1
19	3.0745777002167927	1	2
19	1.5601020637578245	1	2
20	0.7013248729280974	8	12
20	1.5451433841471953	1	1
20	2.0883216362853148	1	36
20	3.3240688825291898	148	61
20	1.5813489533070424	1	3
20	3.1316504089714954	2	2
20	2.687180268138377	1	2
20	1.6808230862291396	35	1
20	1.609330559453241	2	1
20	2.6769269430735108	61	2
20	0.4921546436307551	1	1
20	3.17634962834876	1	1
20	3.1782161866325964	25	2
20	2.334001233630829	2	1
20	3.2654977343622136	30	23
20	3.123773191673706	9	1
20	3.36113859307045	54	211
20	3.142066244220871	8	1
20	2.851922134012	4	1
20	2.662820241657897	1	3
20	3.0636745510415153	1	1
20	2.3244563623073304	4	1
20	3.0914171837001447	4	9
20	2.9751820907144406	1	1
20	3.1564701270675357	1	17
20	3.354868656329785	1	53
20	4.141562265717994	5	44
20	1.787863807387879	6	1
20	1.5603064455648337	1	3
20	2.4765561324361443	1	1
20	0.558799421462794	1	1
20	2.877725228190883	16	1
20	3.1825984443343884	25	1
20	2.8416807514510936	7	4
20	0.4576109823067043	1	3
20	0.5867386486208659	1	2
21	2.623558076212504	1	4
21	1.576878970402987	1	1
21	1.501726269732984	1	1
21	3.2989805989359695	148	32
21	3.3640937526927246	54	207
21	1.639903652068483	1	10
21	3.1160164959084966	1	17
21	0.5029081566082141	1	1
21	3.0945197060416945	2	2
21	3.3340116498056886	1	53
21	3.1340181631110795	4	1
21	0.4921266670923785	1	1
21	3.2873342610872385	30	17
21	3.0208039650595424	16	1
21	0.5719477312238439	1	2
21	2.6369041966336226	61	2
21	1.5646595697238581	2	28
21	1.6240896289997409	2	2
21	1.6597806220108566	30	1
21	2.6198511244895997	1	4
21	3.1801188309515283	25	2
21	4.346749454342387	5	44
21	2.8275372612563956	7	4
21	3.190627988497397	9	112
21	2.633155328119642	1	2
21	1.5648173817794202	1	3
21	1.9585386110501588	6	1
21	0.7264051164413559	8	27
21	2.9143639719758596	4	1
21	1.7685963401737865	35	1
21	3.242863363850091	1	1
21	0.549595465398454	1	3
21	3.0523690909472236	1	1
